market_snapshot_id,symbol_yahoo,symbol_original,company,exchange,is_sp500,quote_success,historical_data_available,valid_trading_days,market_cap_quote,shares_outstanding_quote,market_cap_from_shares,quote_price,latest_close,analysis_exclusion_reason
M_2026-08-22_105907,EDN,EDN,Empresa Distribuidora Y Comercializadora Norte S.A. (Edenor) American Depositary Shares,NYSE,FALSE,TRUE,TRUE,30,,,,22.3,22.299999237060547,Missing positive current market capitalization
M_2026-08-22_105907,EDU,EDU,New Oriental Education & Technology Group Inc. Sponsored ADR representing 10 Ordinary Share (Cayman Islands),NYSE,FALSE,TRUE,TRUE,30,,,,55.8,55.79999923706055,Missing positive current market capitalization
M_2026-08-22_105907,EL,EL,Estee Lauder Companies Inc. (The) Common Stock,NYSE,TRUE,TRUE,TRUE,30,,,,101.94,101.94000244140625,Missing positive current market capitalization
M_2026-08-22_105907,ELLA,ELLA,Ellington Credit Company 8.50% Notes due 2031,NYSE,FALSE,TRUE,TRUE,30,,,,25.318,25.31999969482422,Missing positive current market capitalization
M_2026-08-22_105907,ESP,ESP,Espey Mfg. & Electronics Corp. Common Stock,AMEX,FALSE,TRUE,TRUE,30,,,,64.78,64.779998779296875,Missing positive current market capitalization
M_2026-08-22_105907,FC,FC,Franklin Covey Company Common Stock,NYSE,FALSE,TRUE,TRUE,30,,,,20.29,20.290000915527344,Missing positive current market capitalization
M_2026-08-22_105907,FCNCP,FCNCP,First Citizens BancShares Inc. Depositary Shares,NASDAQ,FALSE,TRUE,TRUE,30,,,,19.67,19.670000076293945,Missing positive current market capitalization
M_2026-08-22_105907,FGN,FGN,F&G Annuities & Life Inc. 7.950% Senior Notes due 2053,NYSE,FALSE,TRUE,TRUE,30,,,,24.55,24.549999237060547,Missing positive current market capitalization
M_2026-08-22_105907,FGSN,FGSN,F&G Annuities & Life Inc. 7.300% Junior Subordinated Notes due 2065,NYSE,FALSE,TRUE,TRUE,30,,,,20.72,20.719999313354492,Missing positive current market capitalization
M_2026-08-22_105907,FRMEP,FRMEP,First Merchants Corporation Depository Shares,NASDAQ,FALSE,TRUE,TRUE,30,,,,25.25,25.25,Missing positive current market capitalization
M_2026-08-22_105907,FT,FT,Franklin Universal Trust Common Stock,NYSE,FALSE,TRUE,TRUE,30,,,,7.82,7.820000171661377,Missing positive current market capitalization
M_2026-08-22_105907,FTRA,FTRA,FutureCorp Space Acquisition 1 Class A Ordinary Shares,NYSE,FALSE,TRUE,TRUE,20,,,,9.89,9.890000343322754,Missing positive current market capitalization
M_2026-08-22_105907,GAB,GAB,Gabelli Equity Trust Inc. (The) Common Stock,NYSE,FALSE,TRUE,TRUE,30,,,,5.65,5.650000095367432,Missing positive current market capitalization
M_2026-08-22_105907,GAIN,GAIN,Gladstone Investment Corporation Business Development Company,NASDAQ,FALSE,TRUE,TRUE,30,,,,16.36,16.360000610351563,Missing positive current market capitalization
M_2026-08-22_105907,GAING,GAING,Gladstone Investment Corporation 7.125% Notes due 2031,NASDAQ,FALSE,TRUE,TRUE,30,,,,25.18,25.18000030517578,Missing positive current market capitalization
M_2026-08-22_105907,GAINI,GAINI,Gladstone Investment Corporation 7.875% Notes due 2030,NASDAQ,FALSE,TRUE,TRUE,30,,,,25.5,25.5,Missing positive current market capitalization
